A Light in the Attic, cost: £51.77, ★★★
Tipping the Velvet, cost: £53.74, ★
Soumission, cost: £50.10, ★
Sharp Objects, cost: £47.82, ★★★★
Sapiens: A Brief History of Humankind, cost: £54.23, None
The Requiem Red, cost: £22.65, ★
The Dirty Little Secrets of Getting Your Dream Job, cost: £33.34, ★★★★
The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull, cost: £17.93, ★★★
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics, cost: £22.60, ★★★★
The Black Maria, cost: £52.15, ★
Starving Hearts (Triangular Trade Trilogy, #1), cost: £13.99, ★★
Shakespeare's Sonnets, cost: £20.66, ★★★★
Set Me Free, cost: £17.46, None
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1), cost: £52.29, None
Rip it Up and Start Again, cost: £35.02, None
Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991, cost: £57.25, ★★★
Olio, cost: £23.88, ★
Mesaerion: The Best Science Fiction Stories 1800-1849, cost: £37.59, ★
Libertarianism for Beginners, cost: £51.33, ★★
It's Only the Himalayas, cost: £45.17, ★★
